Nombre,Empresa,Tecnología,Fase,Combustible,Matriz,Sector,Fecha operación,Capacidad (MW),Generación (GWh),Inversión (mdd),Modalidad,Entidad,Permiso CRE,MIA,Aprobación MIA,Notas,X,Y
San Miguel V (Orsipo 5 Solar),"Green Hub, S. de R. L. de C. V.",Fotovoltaica,En operación,Sol,Grenergy Renovables,Privado,2021,30,80.8,45,Generación,Guanajuato,E/2168/GEN/2019,11GU2017ED168,Autorizado,,-11195586.236582262,2379181.1656588134
CC Dulces Nombres III,Iberdrola Energia Monterrey S.A. de C.V.,Ciclo Combinado,En proyecto con permiso de la CRE terminado,Gas Natural,Iberdrola,Privado,null,498,4031,800,Generación,Nuevo León,E/1735/GEN/2016,,No encontrado,,-11142296.741405834,2964121.1614109003
Chara Solar,"CHARA SOLAR, S. A. DE C. V.",Fotovoltaica,En proyecto sin permiso de la CRE,Sol,"CHARA SOLAR, S. A. DE C. V.",Privado,null,73,null,30,No definida,Baja California,Permiso no encontrado,02BC2019E0048,Autorizado,,-12866045.450098602,3833208.375209198
Vallecitos I,Energía Aljaval,Fotovoltaica,En proyecto con permiso de la CRE revocado,Sol,Energía Aljaval,Privado,null,30,null,45,Pequeño Productor,Baja California,E/1384/PP/2015,02BC2015ED043,En evaluacion,,-12971741.10359409,3793176.4574314295
Terranova,"X-ELIO FV CONEJOS MEDANOS, S.A.P.I. DE C.V.",Fotovoltaica,En operación,Sol,X-Elio (Gestamp y KKR),Privado,2022,80,194,98,Generación,Chihuahua,E/1907/GEN/2017,08CI2018E0041,Autorizado condicionado,,-11855599.77579431,3703089.0303343637
Planta Aguascalientes,"Productos Farmacéuticos, S. A. de C. V., Planta Aguascalientes",Combustión interna,En operación,Diesel,"Productos Farmacéuticos, S. A. de C. V.",Privado,2008,4,3.2,3.6,Autoabastecimiento,Aguascalientes,E/724/AUT/2007,01AG2014ED011,Autorizado,,-11391693.741502063,2532068.4853187087
Planta Colonia Penal federal Islas Marías,Órgano Administrativo Desconcentrado Prevención y Readaptación Social,Combustión interna,En operación,Diesel,Órgano Administrativo Desconcentrado Prevención y Readaptación Social,Público,2006,3.05,10.69,2.75,Autoabastecimiento,Nayarit,E/792/AUT/2008,,No encontrado,,-11869856.957238743,2471868.306019554
Planta Cruz Azul Aguascalientes,"Cooperativa La Cruz Azul, S. C. L.",Combustión interna,En operación,Biogas,Cruz Azul,Privado,2015,1.01,8,0.91,Autoabastecimiento,Aguascalientes,E/1209/AUT/2014,,No encontrado,,-11442541.807662677,2486794.7244645027
Terminal Refrigerada Pajaritos,Pemex Transformación Industrial,Turbina de Gas,En proyecto con permiso de la CRE terminado,Gas Natural,PEMEX,Público,2006,14,121,12.6,Autoabastecimiento,Veracruz,E/545/AUT/2006,,No encontrado,,-10508370.4639985,2051795.5640684427
Altair Importación y Exportación,"Altair Importación y Exportación, S. A. P. I. de C. V.",Fotovoltaica,En proyecto con permiso de la CRE terminado,Sol,"Altair Importación y Exportación, S. A. P. I. de C. V.",Privado,null,30,70.95,45,Autoabastecimiento,Chihuahua,E/1503/AUT/2015,,No encontrado,,-11898726.607414426,3712324.0165014546
Alaia (II),"Energía Solar Alaia II, S. A. P. I. de C. V.",Fotovoltaica,En proyecto con permiso de la CRE terminado,Sol,Prana Power,Privado,null,30,70.95,45,Autoabastecimiento,Chihuahua,E/1505/AUT/2015,,No encontrado,,-11898214.480983837,3712793.3595074276
Yaqui Solar / Cajeme Solar,Zigor México,Fotovoltaica,En proyecto con permiso de la CRE terminado,Sol,Zigor,Privado,null,10,21.55,15,Autoabastecimiento,Sonora,E/1504/AUT/2015,,No encontrado,,-12242529.325079095,3178394.015256101
Gaya (AUT),"Hidroeléctricas Gaya, S. A. de C. V.",Turbina Hidráulica,En proyecto con permiso de la CRE revocado,Agua,"Hidroeléctricas Gaya, S. A. de C. V.",Privado,null,9,14.27,13.5,Autoabastecimiento,Puebla,E/1497/AUT/2015,21PU2016E0036,Negado,,-10856851.442263087,2268239.202325938
Amistad IV,"Parque Amistad IV, S. A. de C. V.",Eólico,En operación,Viento,Enel Green Power,Privado,2020,162,598.1,222.72,Generación,Coahuila,E/2009/GEN/2018,05CO2018E0057,Autorizado condicionado,,-11331493.164982868,3448624.620615569
Planta Cuautla,"Continental Automotive Mexicana, S. A. de C. V., Planta Cuautla",Combustión interna,En operación,Diesel,Continental,Privado,2010,2.59,1.39,2.33,Autoabastecimiento,Morelos,E/846/AUT/2010,,No encontrado,,-11011276.41359814,2125444.0517060654
Planta El Ahogado,"Atlatec, S. A. de C. V.",Combustión interna,En operación,Biogas,Mitsui,Privado,2012,2.83,10.11,2.55,Generación,Jalisco,E/885/GEN/2011,,No encontrado,,-11494489.900748659,2333454.8761404934
Planta Eléctrica Cárdenas,PEMEX,Turbina de Gas,En operación,Gas Residual,PEMEX,Público,2007,42,338.68,37.8,Cogeneración,Tabasco,E/638/COG/2007,,No encontrado,,-10385102.103816323,2036851.1058707552
Planta Fiesta Americana Grand Los Cabos,"Grupo Posadas, S. A. B. de C. V",Combustión interna,En operación,Diesel,"Grupo Posadas, S. A. B. de C. V",Privado,2007,2.09,3.02,1.88,Autoabastecimiento,Baja California Sur,E/519/AUT/2006,,No encontrado,,-12226178.871892277,2622542.7628848343
Planta Fiesta Americana Merida,"Inmobiliaria del Sudeste, S. A. de C. V.",Combustión interna,En operación,Diesel,"Grupo Posadas, S. A. B. de C. V",Privado,2006,1.51,1.07,1.36,Autoabastecimiento,Yucatán,E/516/AUT/2006,,No encontrado,,-9976336.827869909,2390267.6184519413
Planta Chihuahua,"QUINTO SOL ENERGÍA 5, S. DE R. L. DE C. V.",Fotovoltaica,En proyecto con permiso de la CRE revocado,Sol,"QUINTO SOL ENERGÍA 5, S. DE R. L. DE C. V.",Privado,null,30,75,45,Pequeño Productor,Chihuahua,E/1166/PP/2014,,No encontrado,,-11858975.386844914,3552899.2307903203
Planta de Fuerza 9,AHMSA,Ciclo Combinado,En proyecto sin permiso de la CRE,Gas Natural,AHMSA,Privado,null,100,null,49,No definida,Coahuila,Permiso no encontrado,,No encontrado,,-11294660.478747956,3109056.9391761427
Planta Latincasa,"Nacional de Conductores Eléctricos, S. A. de C. V.",Combustión interna,En operación,Diesel,"Nacional de Conductores Eléctricos, S. A. de C. V.",Privado,2007,3.75,3.06,3.38,Autoabastecimiento,San Luis Potosí,E/651/AUT/2007,,No encontrado,,-11232703.743753124,2522285.8079351448
Planta Lázaro Cárdenas,"ArcelorMittal México, S. A. de C. V.",Turbina de Vapor,En operación,Gas Natural,ArcelorMittal,Privado,1991,40,180.4,48,Autoabastecimiento,Michoacán,E/141/AUT/99,,No encontrado,,-11376834.694532732,2030380.0511391775
Planta Marinela de Baja California,"Bimbo, S. A. de C. V.",Combustión interna,En operación,Diesel,Grupo Bimbo,Privado,2007,1.2,1.25,1.08,Autoabastecimiento,Baja California,E/720/AUT/2007,,No encontrado,,-12846675.172972508,3844872.392796479
Planta Monterrey,"Ternium Mexico, S. A. de C. V., Planta Monterrey",Turbina de Gas,En operación,Gas Natural,Techint E&C (Ternium),Privado,1990,50,28,45,Autoabastecimiento,Nuevo León,E/140/AUT/99,,No encontrado,,-11165716.36185749,2964431.7488620477
Planta Nesté Estado de México,"Nestlé México, S. A. de C. V.",Combustión interna,En operación,Gas Natural,Nestlé,Privado,2004,2.45,20.41,2.21,Autoabastecimiento,Estado de México,E/263/AUT/2003,,No encontrado,,-11089515.31395136,2189112.422667553
Tezcapa,"Generadora Fénix, S. A. P. I. de C. V.",Turbina Hidráulica,En construcción,Agua,Mota-Engil / SME,Privado,null,5.3,27.86,5.1,Generación,Puebla,E/1863/GEN/2016,,No encontrado,,-10914683.15560293,2295918.3414807697
